ts_utc;kind;side;price_hint;range_id;message_id;confidence
2025-10-23T13:23:29Z;range_open;SELL;4141.0;2025-10-23-7;13110;0.95
2025-10-23T13:39:03Z;range_close;;;2025-10-23-7;13131;
2025-10-23T13:43:58Z;range_open;SELL;4145.0;2025-10-23-8;13134;0.95
2025-10-23T16:34:42Z;range_close;;;2025-10-23-8;13218;
2025-10-24T08:04:30Z;range_open;BUY;4067.0;2025-10-24-1;13226;0.95
2025-10-24T08:06:36Z;range_close;;;2025-10-24-1;13231;
2025-10-24T08:21:20Z;range_open;BUY;4054.0;2025-10-24-2;13233;0.95
2025-10-24T08:27:11Z;range_close;;;2025-10-24-2;13238;
2025-10-24T09:22:58Z;range_open;SELL;4072.0;2025-10-24-3;13241;0.95
2025-10-24T09:31:40Z;range_close;;;2025-10-24-3;13248;
2025-10-24T12:31:46Z;range_open;SELL;4091.0;2025-10-24-4;13250;0.95
2025-10-24T17:35:42Z;range_close;;;2025-10-24-4;13278;
2025-10-27T08:30:37Z;range_open;BUY;4061.0;2025-10-27-1;13286;0.95
2025-10-27T10:38:18Z;range_close;;;2025-10-27-1;13291;
2025-10-27T10:47:58Z;range_open;BUY;4039.0;2025-10-27-2;13295;0.95
2025-10-27T12:25:18Z;range_close;;;2025-10-27-2;13301;
2025-10-27T12:29:06Z;range_open;BUY;4035.0;2025-10-27-3;13303;0.95
2025-10-27T12:42:26Z;range_close;;;2025-10-27-3;13309;
2025-10-27T12:51:29Z;range_open;SELL;4043.0;2025-10-27-4;13311;0.95
2025-10-27T12:54:08Z;range_close;;;2025-10-27-4;13316;
2025-10-27T13:01:17Z;range_open;SELL;4048.0;2025-10-27-5;13319;0.95
2025-10-27T13:05:37Z;range_close;;;2025-10-27-5;13325;
2025-10-27T13:36:14Z;range_open;SELL;4035.0;2025-10-27-6;13331;0.95
2025-10-27T13:42:08Z;range_close;;;2025-10-27-6;13344;
2025-10-27T14:04:30Z;range_open;BUY;4008.0;2025-10-27-7;13346;0.95
2025-10-27T14:06:59Z;range_close;;;2025-10-27-7;13354;
2025-10-27T14:09:34Z;range_open;BUY;4004.0;2025-10-27-8;13356;0.95
2025-10-27T14:14:17Z;range_close;;;2025-10-27-8;13365;
2025-10-29T13:50:21Z;range_open;SELL;4009.0;2025-10-29-1;13467;0.95
2025-10-29T14:38:35Z;range_close;;;2025-10-29-1;13477;
2025-10-31T08:06:30Z;range_open;SELL;4025.0;2025-10-31-1;13539;0.95
2025-10-31T08:22:31Z;range_close;;;2025-10-31-1;13549;
2025-10-31T09:18:54Z;range_open;BUY;4004.0;2025-10-31-2;13551;0.95
2025-10-31T09:26:33Z;range_close;;;2025-10-31-2;13554;
2025-10-31T10:55:28Z;range_open;BUY;4005.0;2025-10-31-3;13556;0.95
2025-10-31T11:25:32Z;range_close;;;2025-10-31-3;13563;
2025-10-31T12:21:39Z;range_open;SELL;4016.0;2025-10-31-4;13566;0.95
2025-10-31T13:32:59Z;range_close;;;2025-10-31-4;13571;
2025-10-31T14:07:57Z;range_open;SELL;4026.0;2025-10-31-5;13575;0.95
2025-10-31T14:30:09Z;range_close;;;2025-10-31-5;13587;
2025-11-03T09:10:01Z;range_open;SELL;4025.0;2025-11-03-1;13593;0.95
2025-11-03T09:19:32Z;range_close;;;2025-11-03-1;13603;
2025-11-03T09:31:37Z;range_open;BUY;4002.0;2025-11-03-2;13605;0.95
2025-11-03T09:36:12Z;range_close;;;2025-11-03-2;13611;
2025-11-03T09:41:08Z;range_open;BUY;4000.0;2025-11-03-3;13613;0.95
2025-11-03T09:49:48Z;range_close;;;2025-11-03-3;13616;
2025-11-03T12:18:14Z;range_open;SELL;4006.0;2025-11-03-4;13633;0.95
2025-11-03T12:29:50Z;range_close;;;2025-11-03-4;13641;
2025-11-03T12:51:15Z;range_open;SELL;4010.0;2025-11-03-5;13643;0.95
2025-11-03T13:30:28Z;range_close;;;2025-11-03-5;13646;
2025-11-03T13:36:05Z;range_open;SELL;4018.0;2025-11-03-6;13649;0.95
2025-11-03T13:45:52Z;range_close;;;2025-11-03-6;13654;
2025-11-06T07:56:16Z;range_open;SELL;4005.0;2025-11-06-1;13832;0.95
2025-11-06T10:09:57Z;range_close;;;2025-11-06-1;13834;
2025-11-06T10:20:04Z;range_open;SELL;4012.0;2025-11-06-2;13837;0.95
2025-11-06T12:37:48Z;range_close;;;2025-11-06-2;13846;
2025-11-07T08:03:03Z;range_open;SELL;4008.0;2025-11-07-1;13864;0.95
2025-11-07T08:34:06Z;range_close;;;2025-11-07-1;13876;
2025-11-07T09:00:11Z;range_open;SELL;4010.0;2025-11-07-2;13878;0.95
2025-11-07T10:20:05Z;range_close;;;2025-11-07-2;13890;
2025-11-07T11:04:13Z;range_open;SELL;4011.0;2025-11-07-3;13892;0.95
2025-11-07T11:15:44Z;range_close;;;2025-11-07-3;13908;
2025-11-07T14:23:53Z;range_open;SELL;4006.0;2025-11-07-4;13915;0.95
2025-11-07T14:28:32Z;range_close;;;2025-11-07-4;13924;
2025-11-10T07:37:15Z;range_open;SELL;4076.0;2025-11-10-1;13930;0.95
2025-11-10T08:16:08Z;range_close;;;2025-11-10-1;13937;
2025-11-10T08:27:38Z;range_open;SELL;4080.0;2025-11-10-2;13941;0.95
2025-11-10T09:02:35Z;range_close;;;2025-11-10-2;13949;
